Kod,Ad,Miktar,Maliyet,Satış
503,Bagel - 12 Grain Preslice,226,461.76,1013.54
504,Anchovy Fillets,675,701.84,1667.7
505,Pie Filling - Apple,590,697.91,1437.05
506,"Oil - Food, Lacquer Spray",996,412.96,2975.05
507,Chicken - Base,614,721.64,3500.1
508,Pork - Smoked Kassler,972,868.06,3833.87
509,Tamarillo,857,940.39,2075.97
510,Wine - Taylors Reserve,338,777.21,2556.71
511,Cake - Sheet Strawberry,375,134.18,2565.49
512,Tea - Jasmin Green,610,860.72,2018.12
513,Onions - White,41,241.48,3886.94
514,Bread - Calabrese Baguette,578,339.66,717.57
515,Cookie Dough - Oatmeal Rasin,777,708.32,1458.38
516,Cumin - Whole,596,941.98,2150.09
517,Dried Cherries,580,702.76,3859.7
518,Bread - White Mini Epi,457,175.13,2319.84
519,"Lentils - Green, Dry",177,684.34,3618.06
520,Table Cloth 81x81 Colour,383,746.46,1372.12
521,"Soup - Campbells, Beef Barley",518,668.18,910.14
522,Pomegranates,18,842.31,3702.98
523,Rabbit - Legs,472,759.56,2037.66
524,Compound - Rum,746,890.02,2910.74
525,Corn Shoots,754,584.03,1904.64
526,Tomato - Plum With Basil,792,196.89,867.88
527,Muffin Mix - Lemon Cranberry,7,929.87,2425.67
528,Muffin - Bran Ind Wrpd,870,165.05,3090.91
529,Bread - Crusty Italian Poly,332,623.41,2869.89
530,Cloves - Ground,546,481.06,3497.17
531,Apples - Spartan,300,246.91,2410.23
532,"Bread - Roll, Italian",908,379.92,2964.22
533,Wine - Periguita Fonseca,944,543.0,3869.68
534,Fondant - Icing,978,971.73,1056.45
535,Sobe - Orange Carrot,158,706.12,1452.17
536,Table Cloth 62x114 Colour,670,884.07,1369.8
537,Sobe - Cranberry Grapefruit,119,823.62,2915.46
538,Water - Aquafina Vitamin,768,448.74,3470.65
539,Milk - 2% 250 Ml,44,424.43,1082.95
540,"Coconut - Shredded, Sweet",372,337.93,3286.84
541,Towel Dispenser,113,318.73,2974.96
542,Wine - Manischewitz Concord,732,234.6,1532.46
543,Muffin Hinge Container 6,204,468.47,1459.7
544,Cake - Pancake,765,624.78,3588.62
545,Pimento - Canned,892,934.08,1210.89
546,Fond - Chocolate,772,496.3,918.69
547,"Juice - Pineapple, 48 Oz",357,65.09,2499.14
548,"Pepsi, 355 Ml",817,833.78,1742.37
549,Creme De Banane - Marie,570,876.85,2056.86
550,Jolt Cola - Red Eye,616,482.87,3108.03
551,Icecream - Dstk Cml And Fdg,354,741.33,3010.7
552,Wine - Malbec Trapiche Reserve,948,817.58,1922.43
553,Crackers - Soda / Saltins,544,530.1,2600.44
554,"Wine - White, Chardonnay",776,178.15,2851.25
555,Ice Cream Bar - Oreo Cone,430,701.4,2143.6
556,Table Cloth - 53x69 Colour,86,236.35,3723.57
557,Zucchini - Yellow,131,234.17,3315.47
558,Soup - Cream Of Broccoli,288,517.09,874.56
559,Meldea Green Tea Liquor,31,193.48,2334.23
560,Arctic Char - Fillets,578,98.78,2943.23
561,Sage - Ground,409,652.46,778.46
562,Sauce Tomato Pouch,188,164.13,2233.81
563,"Oranges - Navel, 72",874,932.6,3506.43
564,"Wine - White, Ej",155,470.94,1582.54
565,V8 - Berry Blend,424,460.01,2560.57
566,Milk - Chocolate 500ml,262,647.93,2267.7
567,Beef - Texas Style Burger,262,496.31,821.79
568,Shrimp - Black Tiger 26/30,726,522.54,1912.51
569,Spic And Span All Purpose,194,845.1,1538.05
570,Nougat - Paste / Cream,216,890.12,3598.67
571,Pie Shells 10,630,163.98,1651.82
572,"Juice - Tomato, 10 Oz",184,447.53,3233.68
573,"Cheese - Cheddar, Mild",259,691.35,1530.09
574,Beans - Green,519,928.03,846.78
575,Tomatoes Tear Drop,627,193.43,3465.42
576,Bread Crumbs - Panko,56,983.82,1864.03
577,"Pasta - Lasagna, Dry",501,410.76,2244.94
578,Island Oasis - Wildberry,111,646.61,1853.05
579,Olive - Spread Tapenade,52,541.06,2465.82
580,"Tart Shells - Barquettes, Savory",409,996.84,2813.5
581,Pork Loin Bine - In Frenched,771,848.71,1124.76
582,Lettuce - Curly Endive,445,730.41,3692.6
583,"Bread - Bagels, Plain",386,60.9,1881.36
584,"Soup - French Onion, Dry",222,888.51,1860.33
585,Bread - Focaccia Quarter,544,680.64,3294.26
586,"Nut - Almond, Blanched, Whole",7,767.68,2987.26
587,Sprouts - Brussel,641,921.88,751.04
588,Milk - Chocolate 250 Ml,432,492.54,1679.82
589,"Pork - Back, Short Cut, Boneless",168,625.84,2145.31
590,"Wine - Mas Chicet Rose, Vintage",286,668.56,2962.81
591,Coffee Caramel Biscotti,136,337.8,3336.71
592,Lychee - Canned,795,784.53,3197.79
593,Pork Loin Bine - In Frenched,728,457.31,1226.14
594,Lettuce - California Mix,225,812.6,1193.32
595,Pork - Caul Fat,381,245.63,2843.96
596,Oregano - Fresh,117,829.49,2323.12
597,Turkey - Ground. Lean,796,352.47,3671.78
598,Table Cloth 62x120 White,512,652.3,3428.54
599,Wine - Chateau Aqueria Tavel,42,406.34,956.66
600,Cleaner - Bleach,193,793.61,1146.73
601,"Sauce - Gravy, Au Jus, Mix",16,751.43,3439.57
602,Straws - Cocktale,833,375.32,835.88
603,Kaffir Lime Leaves,483,879.75,3212.1
604,Couscous,657,848.55,3523.27
605,"Wine - Red, Cabernet Merlot",9,616.81,3832.48
606,Relish,483,792.54,970.19
607,"Rum - Spiced, Captain Morgan",944,605.79,3937.89
608,Beef - Top Sirloin - Aaa,399,184.85,943.28
609,"Pepper - Paprika, Spanish",98,919.27,2446.61
610,Skirt - 29 Foot,114,790.08,1657.3
611,Coffee Cup 12oz 5342cd,268,103.69,1654.33
612,Breadfruit,566,799.93,3165.27
613,"Soup - Beef Conomme, Dry",511,351.37,2199.22
614,Scallops - 10/20,233,317.66,1788.88
615,"Nestea - Ice Tea, Diet",461,580.42,1591.88
616,Carroway Seed,264,693.88,798.59
617,Sugar - Individual Portions,207,804.27,1495.81
618,"Fish - Base, Bouillion",419,501.24,3063.0
619,Bread - Petit Baguette,519,914.35,3074.88
620,Table Cloth 54x72 White,448,798.62,3106.21
621,Bar Energy Chocchip,538,126.29,1329.7
622,Wine - Zonnebloem Pinotage,245,898.03,3075.79
623,Bols Melon Liqueur,859,391.15,1420.68
624,French Pastries,342,792.42,2240.13
625,Lid Coffee Cup 8oz Blk,365,898.54,1924.11
626,Wine - Wyndham Estate Bin 777,452,838.3,3511.78
627,Pepper - Yellow Bell,244,917.12,2729.51
628,Muffin - Carrot Individual Wrap,629,172.5,2362.76
629,"Wine - Bourgogne 2002, La",25,998.2,2959.24
630,Beets - Mini Golden,250,706.98,3790.95
631,Jicama,464,484.8,3134.22
632,"Pepper - Black, Ground",65,192.72,3587.88
633,Orange - Blood,646,442.19,1529.54
634,Salmon Steak - Cohoe 6 Oz,913,875.52,2568.97
635,Stainless Steel Cleaner Vision,605,919.08,1672.82
636,Pepper - Red Thai,260,336.7,2593.15
637,Shrimp - 31/40,836,269.19,2632.85
638,Oil - Sesame,205,836.18,766.97
639,Nori Sea Weed,25,724.11,716.5
640,Wine - Masi Valpolocell,317,984.85,3582.73
641,Creme De Cacao White,772,698.76,3805.52
642,Tea - Herbal Sweet Dreams,307,125.56,3999.22
643,Cardamon Ground,352,426.82,2597.6
644,Cheese - Comte,807,773.67,1330.93
645,Appetizer - Smoked Salmon / Dill,1,117.34,3358.42
646,Salmon Atl.whole 8 - 10 Lb,226,591.92,3839.99
647,Wine - Magnotta - Cab Sauv,726,202.37,3960.84
648,Pasta - Angel Hair,88,443.42,967.99
649,Pepper - Red Chili,50,412.48,3601.93
650,Wine - Maipo Valle Cabernet,507,528.84,1086.05
651,Syrup - Kahlua Chocolate,779,194.42,1195.45
652,Apricots - Halves,631,288.88,984.84
653,"Fish - Halibut, Cold Smoked",940,409.5,3955.63
654,"7up Diet, 355 Ml",410,799.56,3068.23
655,"Crab - Blue, Frozen",567,730.54,2454.76
656,Pears - Anjou,970,613.97,3153.39
657,Cheese - Comtomme,987,589.76,1730.44
658,Cheese - Pied De Vents,24,426.12,2498.79
659,"Fish - Halibut, Cold Smoked",371,270.44,2671.39
660,Spice - Peppercorn Melange,248,964.39,3707.15
661,"Yogurt - Banana, 175 Gr",597,864.22,3419.56
662,Muffin Batt - Carrot Spice,650,112.44,3311.93
663,"Brownies - Two Bite, Chocolate",637,136.28,1423.74
664,Food Colouring - Green,88,911.97,2079.88
665,Bread - French Baquette,613,994.75,1230.72
666,Tequila - Sauza Silver,169,80.1,2220.64
667,Orange - Tangerine,169,59.99,1498.36
668,Wine - Sawmill Creek Autumn,327,221.65,2753.93
669,Compound - Raspberry,833,635.24,861.69
670,Filo Dough,622,424.75,3577.71
671,Soup - Campbells Beef Strogonoff,128,698.87,1302.76
672,Kiwi Gold Zespri,202,614.83,3015.65
673,"Ecolab - Orange Frc, Cleaner",806,779.38,2183.92
674,"Pasta - Canelloni, Single Serve",762,124.61,2173.46
675,Sobe - Orange Carrot,504,945.9,3836.68
676,"Soup - Campbells, Beef Barley",573,438.46,3697.16
677,"Split Peas - Yellow, Dry",378,669.45,1011.82
678,Compound - Mocha,715,305.25,1548.63
679,Dish Towel,122,359.27,3829.02
680,Yogurt - Plain,170,951.84,2055.16
681,Lamb Leg - Bone - In Nz,429,451.18,719.79
682,Juice - Cranberry 284ml,490,809.63,2763.82
683,Mushroom - Crimini,670,837.22,1026.42
684,Peach - Halves,565,261.06,1351.28
685,"Pepper - White, Ground",591,750.44,3001.5
686,"Wine - Magnotta, Merlot Sr Vqa",37,144.87,3283.29
687,Sour Puss Raspberry,469,331.76,2127.46
688,"Fish - Base, Bouillion",683,315.3,1309.65
689,"Pork - Back, Long Cut, Boneless",83,506.05,2475.58
690,Wine - Magnotta - Pinot Gris Sr,258,108.94,3030.04
691,Clams - Canned,681,622.53,1024.51
692,"Wine - White, Cooking",450,290.05,1493.44
693,Sour Puss Raspberry,131,194.82,813.3
694,Chicken Thigh - Bone Out,101,781.45,1446.47
695,Melon - Watermelon Yellow,557,692.44,3910.74
696,Beer - Original Organic Lager,876,776.39,3843.24
697,Chocolate Bar - Oh Henry,907,613.35,3098.11
698,"Oil - Olive, Extra Virgin",4,80.38,1702.43
699,Cheese - Mix,892,942.71,3257.02
700,Cheese - Cream Cheese,303,303.87,2212.58
701,"Wine - Red, Mouton Cadet",213,314.99,3465.0
702,"Apple - Delicious, Golden",804,711.02,818.27
703,Bread Base - Toscano,625,332.03,1787.78
704,Sage - Rubbed,568,829.74,3428.22
705,Table Cloth 54x72 Colour,236,64.06,2914.45
706,Rootbeer,84,318.44,915.29
707,Allspice - Jamaican,99,515.32,3067.1
708,Dill Weed - Fresh,997,978.66,2424.56
709,Kiwi,697,188.12,2576.69
710,Wine - Gato Negro Cabernet,602,203.55,1456.84
711,Wine - Vineland Estate Semi - Dry,262,975.67,3280.47
712,Chicken - Soup Base,61,458.18,1526.85
713,Lid - 3oz Med Rec,923,739.48,2959.7
714,Mayonnaise - Individual Pkg,232,802.1,3525.98
715,Tuna - Bluefin,340,308.63,3227.78
716,Juice - Happy Planet,166,622.27,2353.42
717,Strawberries - California,477,788.72,1023.3
718,Containter - 3oz Microwave Rect.,804,639.75,961.55
719,"Pasta - Linguini, Dry",523,959.94,2239.65
720,Pernod,461,687.31,2746.92
721,"Mushroom - Morels, Dry",194,897.0,785.41
722,"Pepper - White, Ground",738,471.94,1974.07
723,"Soup - Campbells, Minestrone",820,861.68,1501.6
724,Flower - Commercial Bronze,363,256.91,3487.33
725,Cornflakes,254,229.32,2811.89
726,"Soup - Knorr, Veg / Beef",821,294.98,945.48
727,Muffin - Banana Nut Individual,517,632.34,1684.23
728,Wine - Kwv Chenin Blanc South,236,90.55,3248.46
729,Ice Cream - Turtles Stick Bar,946,723.51,1666.69
730,Quail - Jumbo,223,414.39,2326.79
731,Gherkin,539,979.19,2316.78
732,"Beef - Kindney, Whole",213,478.38,3945.16
733,Container - Foam Dixie 12 Oz,15,409.12,1221.77
734,Rice - Brown,708,608.16,1080.69
735,Dried Figs,550,57.98,1655.22
736,Mangoes,807,717.63,3623.36
737,Wine - Penfolds Koonuga Hill,97,625.66,2346.18
738,Plasticforkblack,940,638.21,1676.24
739,Bread - Rosemary Focaccia,136,139.25,943.41
740,Lemon Pepper,354,561.68,1808.15
741,Island Oasis - Raspberry,800,990.95,1308.62
742,Beer - Moosehead,342,243.66,1982.11
743,"Soup - Campbells, Lentil",893,166.13,2824.04
744,Wine - Touraine Azay - Le - Rideau,142,198.8,3782.2
745,Kiwi Gold Zespri,388,985.06,2958.17
746,Grapes - Red,301,154.71,1214.0
747,Wine - Magnotta - Bel Paese White,598,929.11,1561.6
748,Chicken - Tenderloin,823,457.98,3851.41
749,Tea - English Breakfast,692,566.51,3630.68
750,Cocoa Powder - Natural,696,751.09,2051.52
751,Rabbit - Legs,255,705.51,1764.05
752,Haggis,236,992.5,1950.51
753,Flavouring - Orange,398,737.85,1627.33
754,Seabream Whole Farmed,556,956.62,850.58
755,Pie Shell - 9,50,587.18,1472.05
756,Bread - Onion Focaccia,713,252.99,3269.0
757,Wine - Sake,814,815.21,3124.1
758,Arizona - Green Tea,164,261.27,1760.99
759,Wine - Trimbach Pinot Blanc,349,368.82,1852.97
760,"Onions - Dried, Chopped",675,320.0,2864.52
761,Sprite - 355 Ml,31,779.9,1786.59
762,Lid - 16 Oz And 32 Oz,957,771.66,1520.82
763,Flavouring Vanilla Artificial,952,198.6,3940.36
764,Food Colouring - Orange,957,723.92,1764.27
765,Fruit Mix - Light,876,50.24,1781.06
766,"Noodles - Cellophane, Thin",319,430.84,2862.06
767,Soup - Campbells,295,115.74,2028.56
768,Lamb Leg - Bone - In Nz,200,415.5,2880.13
769,Danishes - Mini Raspberry,778,393.5,3445.24
770,Kumquat,952,917.19,3750.97
771,Veal - Osso Bucco,663,261.23,2499.81
772,Mushroom - Portebello,155,282.15,864.95
773,"Chilli Paste, Sambal Oelek",595,213.59,1393.53
774,"Water - Spring Water, 355 Ml",136,891.74,728.27
775,Sobe - Cranberry Grapefruit,538,316.0,3118.99
776,Island Oasis - Ice Cream Mix,403,221.57,3090.71
777,"Pepper - Black, Whole",776,399.52,1059.47
778,"Pork - Loin, Bone - In",417,220.96,1323.13
779,Cream - 10%,200,322.6,1342.88
780,Sprouts - Bean,559,610.55,3496.26
781,Sugar - Icing,933,450.43,1811.41
782,Pepper - Yellow Bell,342,934.11,944.1
783,"Wine - Sherry Dry Sack, William",297,990.0,3598.15
784,Broom - Push,681,717.86,1772.25
785,Muffin Mix - Oatmeal,780,226.79,3317.14
786,Cut Wakame - Hanawakaba,903,147.37,2477.35
787,"Crab - Dungeness, Whole",900,904.78,3157.98
788,Kahlua,452,549.23,1797.19
789,Molasses - Fancy,50,602.86,1260.95
790,Filter - Coffee,361,974.93,1333.79
791,Cut Wakame - Hanawakaba,610,312.2,2874.59
792,Pate - Cognac,2,261.72,2065.32
793,Salt - Sea,328,941.2,3878.79
794,Pastry - Apple Large,294,909.84,932.48
795,Cucumber - English,123,748.23,2203.64
796,Chicken - Whole,198,738.55,1986.6
797,"Beans - Long, Chinese",792,68.76,2738.83
798,"Soup - Knorr, Chicken Gumbo",679,425.6,1902.35
799,Ice Cream - Chocolate,639,891.98,1987.21
800,Wine - Chianti Classica Docg,821,746.26,2142.11
801,Browning Caramel Glace,660,228.86,2739.62
802,Cheese - Comtomme,287,322.98,1433.56
803,Tea - Camomele,800,914.94,1767.24
804,Anchovy Fillets,454,805.09,1171.74
805,Muskox - French Rack,300,57.02,3486.17
806,Veal - Ground,827,289.09,3098.69
807,Gatorade - Orange,968,541.3,2568.51
808,Orange Roughy 6/8 Oz,686,171.32,3254.32
809,Soup - Campbells Mac N Cheese,28,839.63,3283.32
810,"Nut - Almond, Blanched, Whole",812,422.63,3841.31
811,"Sauce - Bernaise, Mix",410,473.66,1902.75
812,Coffee - Almond Amaretto,683,634.81,830.34
813,Marjoram - Fresh,609,250.7,1982.11
814,"Yeast - Fresh, Fleischman",652,211.95,3310.08
815,Rice - Brown,320,251.17,3607.13
816,Banana,944,84.04,2013.01
817,Energy Drink - Redbull 355ml,428,632.53,1021.62
818,Brandy Apricot,367,231.19,2018.5
819,"Veal - Round, Eye Of",31,626.29,706.33
820,Meldea Green Tea Liquor,791,445.84,3529.43
821,"Juice - Apple, 500 Ml",782,360.19,2936.08
822,V8 - Vegetable Cocktail,778,386.9,1520.71
823,"Cheese - Brie, Triple Creme",114,347.62,2567.53
824,Plaintain,804,425.02,2810.69
825,Onions - Green,362,913.16,3581.54
826,Coconut Milk - Unsweetened,876,183.49,3409.28
827,Chives - Fresh,318,179.72,1119.48
828,Honey - Liquid,214,313.16,3151.9
829,Whmis - Spray Bottle Trigger,687,407.84,3627.86
830,Pork - Side Ribs,60,932.5,735.94
831,Lamb Tenderloin Nz Fr,11,974.09,2341.84
832,Shark - Loin,373,506.45,3149.98
833,Soup Campbells - Italian Wedding,851,976.58,3405.1
834,Bread - White Epi Baguette,892,379.04,1961.94
835,"Tart Shells - Sweet, 2",989,291.84,2817.6
836,Ginger - Ground,527,395.2,990.5
837,Syrup - Kahlua Chocolate,500,751.96,1706.74
838,"Soup - Campbells, Classic Chix",656,496.68,1397.13
839,Long Island Ice Tea,787,752.64,1687.34
840,Flavouring - Raspberry,350,922.9,1279.94
841,Mace,580,220.04,764.85
842,Parsley Italian - Fresh,864,507.12,1242.15
843,"Pail - 15l White, With Handle",461,140.64,2614.01
844,Pan Grease,139,102.43,2240.34
845,Wine - Magnotta - Belpaese,188,844.68,3709.45
846,Sandwich Wrap,490,537.35,925.31
847,Wine - Chianti Classico Riserva,163,823.89,1799.88
848,Muffin Batt - Ban Dream Zero,925,248.2,2481.38
849,Gloves - Goldtouch Disposable,866,116.33,2741.13
850,"Pasta - Rotini, Colour, Dry",325,98.06,2153.95
851,Soup - Campbells,442,399.58,2904.82
852,"Pasta - Lasagne, Fresh",205,223.74,3880.18
853,Cake - Dulce De Leche,590,532.25,1830.45
854,Tuna - Sushi Grade,380,368.85,3798.36
855,"Spoon - Soup, Plastic",724,418.37,2477.18
856,Coffee Swiss Choc Almond,112,76.61,2197.41
857,"Pail - 15l White, With Handle",412,612.25,1325.91
858,Juice - Cranberry 284ml,318,269.09,3159.58
859,"Juice - Cranberry, 341 Ml",629,562.37,2167.44
860,Haggis,563,630.94,2229.91
861,"Soup - Knorr, Country Bean",305,190.45,1574.09
862,Wine - Rhine Riesling Wolf Blass,7,732.11,2870.0
863,Duck - Breast,655,910.2,3202.29
864,Cookie Chocolate Chip With,92,616.55,1572.11
865,Muffin - Mix - Strawberry Rhubarb,146,416.47,3689.39
866,Tomatoes Tear Drop Yellow,460,729.77,886.37
867,Lighter - Bbq,690,225.7,3771.44
868,Sauce - Hollandaise,886,360.49,2722.33
869,"Lid - Translucent, 3.5 And 6 Oz",826,840.26,1594.61
870,"Juice - Orange, Concentrate",111,870.17,3319.66
871,Gatorade - Cool Blue Raspberry,844,174.83,3897.15
872,Oven Mitt - 13 Inch,428,331.6,1773.57
873,Sobe - Cranberry Grapefruit,242,947.41,3592.92
874,Beets - Pickled,54,991.47,2023.07
875,Appetizer - Smoked Salmon / Dill,602,248.51,2362.25
876,"Pasta - Lasagna Noodle, Frozen",365,524.9,1404.93
877,Cheese - Swiss Sliced,829,197.99,3236.47
878,Chocolate Bar - Oh Henry,602,635.53,3634.42
879,Star Fruit,156,466.2,2844.64
880,Wine - Cotes Du Rhone Parallele,156,541.17,2504.19
881,"Brocolinni - Gaylan, Chinese",240,880.71,3153.17
882,Beets - Mini Golden,330,787.68,1041.59
883,"Water - Mineral, Natural",995,573.4,2161.35
884,Wine - Semi Dry Riesling Vineland,976,524.93,3908.29
885,"Extract - Vanilla,artificial",996,864.55,3139.03
886,Cake - Night And Day Choclate,969,103.17,2272.42
887,Raspberries - Fresh,66,456.89,2468.55
888,Orange Roughy 4/6 Oz,990,391.3,3103.81
889,Beef - Tenderloin Tails,63,218.04,2668.26
890,Sea Urchin,139,938.18,3656.24
891,Nougat - Paste / Cream,548,705.08,2894.71
892,Lamb - Loin Chops,775,388.43,3599.32
893,Cheese - Stilton,964,409.49,3946.73
894,Bread - White Epi Baguette,248,215.65,2026.73
895,"Soup - Campbells, Beef Barley",183,784.0,3039.12
896,"Soup - Campbells, Cream Of",621,974.01,3846.35
897,Garam Marsala,67,378.81,2502.88
898,Cocoa Feuilletine,141,744.32,3470.45
899,Veal - Ground,669,133.82,3327.51
900,"Mushroom - Enoki, Dry",979,590.29,3033.95
901,Grapefruit - Pink,213,995.26,1923.73
902,Flower - Carnations,159,203.79,3957.56
903,Wine - Alicanca Vinho Verde,891,488.64,3857.32
904,Beef - Ground Medium,782,959.54,2597.94
905,Spice - Chili Powder Mexican,772,283.02,3833.08
906,Cheese - Goat,52,641.81,3211.37
907,Taro Root,279,84.92,2942.73
908,Mayonnaise,335,959.83,2682.85
909,Tea - Mint,88,353.25,1779.1
910,"Potatoes - Purple, Organic",654,975.82,3755.03
911,Dish Towel,864,306.27,3877.22
912,Loquat,963,601.28,3869.78
913,Beer - Camerons Auburn,130,323.8,781.9
914,"Crab - Claws, Snow 16 - 24",872,838.83,2179.35
915,Beef - Diced,521,187.71,1523.02
916,Pie Shell - 5,920,843.24,2766.64
917,Soup Campbells,374,502.09,3297.82
918,Veal - Knuckle,60,828.21,1708.65
919,Container - Hngd Cll Blk 7x7x3,823,90.09,1355.99
920,Water - Tonic,837,203.92,1364.02
921,Chef Hat 20cm,457,73.49,804.08
922,Flour - Bread,79,968.4,2048.26
923,Chips - Miss Vickies,479,436.75,3894.8
924,Basil - Thai,717,586.4,3190.02
925,Puree - Passion Fruit,733,148.61,2720.78
926,"Soup - Beef, Base Mix",174,837.59,1079.96
927,Muffin - Carrot Individual Wrap,845,219.07,2521.48
928,Island Oasis - Lemonade,723,150.85,2655.0
929,Beer - Rickards Red,807,836.47,2120.76
930,Apricots Fresh,662,929.07,1951.63
931,Yoplait - Strawbrasp Peac,286,231.58,2944.78
932,Island Oasis - Cappucino Mix,633,320.11,2182.84
933,Wine - Barossa Valley Estate,133,937.24,1539.88
934,Chinese Foods - Chicken,811,419.02,2853.94
935,Breadfruit,623,529.13,1550.88
936,Foie Gras,214,140.02,1226.6
937,Appetiser - Bought,684,569.21,3018.89
938,Contreau,545,892.89,3744.53
939,"Vodka - Hot, Lnferno",79,719.01,1897.41
940,"Pineapple - Canned, Rings",316,701.21,1066.75
941,"Stock - Veal, White",712,407.32,1270.75
942,Corn Syrup,913,346.78,2779.2
943,Bread Base - Goodhearth,301,317.24,1771.54
944,Steam Pan - Half Size Deep,927,164.47,2004.4
945,"Salmon - Atlantic, Fresh, Whole",993,223.39,3005.56
946,Cookie Double Choco,48,339.05,1740.39
947,Myers Planters Punch,389,318.84,2707.79
948,"Pepper - Black, Whole",2,220.45,1626.07
949,Bok Choy - Baby,204,659.65,3383.7
950,Aspic - Clear,751,341.75,3239.39
951,Salmon - Fillets,554,362.07,1757.0
952,Kellogs Cereal In A Cup,853,167.57,3051.29
953,Capicola - Hot,842,989.06,1919.37
954,Kahlua,231,417.87,2424.6
955,Lid - 16 Oz And 32 Oz,505,624.32,2981.56
956,Cauliflower,480,169.32,1947.43
957,Dr. Pepper - 355ml,318,357.4,2578.09
958,The Pop Shoppe - Grape,852,540.14,3143.35
959,Rice Wine - Aji Mirin,856,679.46,2268.96
960,Orange Roughy 4/6 Oz,908,337.29,863.21
961,"Tortillas - Flour, 12",194,402.82,1866.51
962,"Chicken - Diced, Cooked",503,663.6,2575.59
963,"Beef - Rib Roast, Capless",770,296.07,2541.99
964,"Tortillas - Flour, 8",77,380.45,3588.34
965,Cake - Mini Potato Pancake,152,283.74,3637.02
966,Wine - Crozes Hermitage E.,26,55.57,3470.36
967,Banana Turning,679,527.37,2988.01
968,"Soup - Campbells, Minestrone",131,446.17,2719.95
969,Pomegranates,529,347.05,3081.89
970,Pepper - Cayenne,372,135.1,3950.54
971,Coffee - Irish Cream,13,501.55,1197.81
972,Pan Grease,780,697.68,1496.56
973,Salmon - Canned,561,558.26,3933.79
974,Milk - Homo,452,428.17,2851.69
975,Soup - Cream Of Broccoli,351,527.21,2655.63
976,Crackers - Melba Toast,586,758.14,3019.01
977,"Veal - Brisket, Provimi,bnls",456,750.03,1715.1
978,Flour - Teff,125,276.67,2553.23
979,Soup - Campbells Chicken,502,718.69,847.5
980,Oil - Peanut,17,663.78,3804.1
981,Dragon Fruit,249,96.56,3421.54
982,"Rum - Dark, Bacardi, Black",647,346.04,2989.8
983,Ham - Virginia,273,749.21,747.97
984,Butter - Salted,4,752.72,1480.33
985,Clams - Canned,938,942.04,1927.44
986,"Wine - White, Riesling, Henry Of",426,108.24,2697.15
987,Bay Leaf Ground,821,285.52,2725.8
988,Rabbit - Whole,949,449.73,1134.94
989,Milkettes - 2%,795,890.15,3598.54
990,Nantucket - Pomegranate Pear,478,157.65,2944.58
991,Scampi Tail,447,615.89,2651.64
992,Flour - Semolina,550,444.6,1847.51
993,Shrimp - Black Tiger 8 - 12,743,537.32,1150.53
994,Gatorade - Lemon Lime,289,567.9,2448.03
995,Sprouts - Peppercress,183,103.5,1938.13
996,"Split Peas - Green, Dry",953,587.0,3071.07
997,Pepper - Yellow Bell,14,742.66,2179.11
998,Table Cloth 81x81 White,848,938.78,3769.44
999,Flavouring - Rum,639,359.48,2836.79
1000,Lumpfish Black,369,320.75,3610.84
